Date,Time,Description,Vendor,Amount
1/5/2025,9:15:22,Rent,Main St. Reality,-1200
1/7/2025,14:45:10,Web Design Payment,Acme Marketing,2500
2/2/2025,10:30:05,Office Supplies,Amazon,-95.4
2/10/2025,16:12:33,Client Invoice,Global Tech,1750
3/1/2025,8:59:45,Coffee Supplies,Starbucks,-45.52
3/15/2025,11:05:11,Equipment Purchase,Best Buy,-389.99
4/2/2025,15:20:40,Consulting Fee,BlueSky Solutions,1200
4/10/2025,9:00:00,Software Subscription,Adobe,-54.99
5/1/2025,12:10:15,Invoice 301 Payment,Greenfield Inc.,3200
5/3/2025,13:55:45,Lunch,Chipotle,-37.88
